ticker,name,div_per_share
9007.T,小田急電鉄,52.6
9008.T,京王電鉄,22.4
9009.T,京成電鉄,24.7
9020.T,東日本旅客鉄道,87.6
9021.T,西日本旅客鉄道,95.1
9022.T,東海旅客鉄道,34.1
9064.T,ヤマトHLDG,47.1
9101.T,日本郵船,199.5
9104.T,商船三井,205.7
9107.T,川崎汽船,116.8
9147.T,NIPPONEXPRESS,100.9
9201.T,日本航空,89.3
9202.T,ANAHLDG,55.4
9432.T,NTT,5.4
9433.T,KDDI,85.1
9434.T,ソフトバンク,8.8
9501.T,東京電力HLDG,0.0
9502.T,中部電力,78.3
9503.T,関西電力,79.4
9531.T,東京瓦斯,116.7
9532.T,大阪瓦斯,129.4
9602.T,東宝,22.1
9735.T,セコム,115.0
9766.T,コナミグループ,255.2
9843.T,ニトリHLDG,31.8
9983.T,ファーストリテイリング,604.1
9984.T,ソフトバンクグループ,10.8
